"reaction number","true rclass","true reaction smiles","true prod","pred reaction smiles","pred prod","conf","projID","retroID","true_deltaCM","true_deltaSA","retpred_deltaCM","retpred_deltaSA"
1.,"substitution","CC[O-].BrC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2","CCI.OC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2",1.,"602c6e63329a1000012c1428","602c88ca329a1000012c2609",3.555215157327112,-4.348967825034095,3.5552151573270976,-2.893914748111019
1.2,"substitution","CC[O-].BrC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2","CCI.OC1CCCCC1.[NaH]>>CCOC2CCCCC2","CCOC2CCCCC2",1.,"602c6e63329a1000012c1428","602c88ca329a1000012c2609",3.555215157327112,-4.348967825034095,3.5552151573270976,-11.373487828372905
1.3,"substitution","CC[O-].BrC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2","C1CCOC1.CCI.OC1CCCCC1.[NaH]>>CCOC2CCCCC2","CCOC2CCCCC2",1.,"602c6e63329a1000012c1428","602c88ca329a1000012c2609",3.555215157327112,-4.348967825034095,-21.61470984411521,-13.3997654414305
1.4,"substitution","CC[O-].BrC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2","CCI.CN(C)C=O.OC1CCCCC1.[NaH]>>CCOC2CCCCC2","CCOC2CCCCC2",1.,"602c6e63329a1000012c1428","602c88ca329a1000012c2609",3.555215157327112,-4.348967825034095,-44.752047230876215,-14.037119007864066
1.5,"substitution","CC[O-].BrC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2","C1CCOC1.CCI.OC1CCCCC1.[H-].[Na+].[H-].[Na+]>>CCOC2CCCCC2","CCOC2CCCCC2",1.,"602c6e63329a1000012c1428","602c88ca329a1000012c2609",3.555215157327112,-4.348967825034095,-21.61470984411521,-38.83848468221616
2.,"substitution","CC(Br)C1=CC=C([N+]([O-])=O)C=C1.[H]O[H]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2","C1CCOC1.C[Mg]Br.O=Cc1ccc([N+](=O)[O-])cc1>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2",1.,"602c6e63329a1000012c1428","602c88f4329a1000012c2676",-0.4447848426729024,-6.147511538461538,-18.104934839788257,-8.193961221047225
2.2,"substitution","CC(Br)C1=CC=C([N+]([O-])=O)C=C1.[H]O[H]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(=O)c1ccc([N+](=O)[O-])cc1.[BH4-].[Na+].[BH4-].[Na+]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2",1.,"602c6e63329a1000012c1428","602c88f4329a1000012c2676",-0.4447848426729024,-6.147511538461538,17.01955000865388,-33.240464250128184
2.3000000000000003,"substitution","CC(Br)C1=CC=C([N+]([O-])=O)C=C1.[H]O[H]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(=O)c1ccc([N+](=O)[O-])cc1.CCO.[BH4-].[Na+].[BH4-].[Na+]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2",1.,"602c6e63329a1000012c1428","602c88f4329a1000012c2676",-0.4447848426729024,-6.147511538461538,-2.150374992788443,-35.22072128876317
2.4000000000000004,"substitution","CC(Br)C1=CC=C([N+]([O-])=O)C=C1.[H]O[H]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(=O)c1ccc([N+](=O)[O-])cc1.CCO.O.[BH4-].[Na+].[BH4-].[Na+]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2",1.,"602c6e63329a1000012c1428","602c88f4329a1000012c2676",-0.4447848426729024,-6.147511538461538,-2.150374992788443,-41.08919821184009
2.5,"substitution","CC(Br)C1=CC=C([N+]([O-])=O)C=C1.[H]O[H]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(=O)c1ccc([N+](=O)[O-])cc1.CCO.Cl.[BH4-].[Na+].[BH4-].[Na+]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2",1.,"602c6e63329a1000012c1428","602c88f4329a1000012c2676",-0.4447848426729024,-6.147511538461538,-2.150374992788443,-41.47176744260932
3.,"substitution","CC(Br)C.[OH-]>>CC(O)C","CC(O)C","CC(C)=O.[BH4-].[Na+].[BH4-].[Na+]>>CC(O)C","CC(O)C",1.,"602c6e63329a1000012c1428","602c891e329a1000012c26e9",-0.4447848426728953,-9.14000000333881,-3.6601499971153757,-33.834921167201394
3.2,"substitution","CC(Br)C.[OH-]>>CC(O)C","CC(O)C","CC(C)=O.[H][H].[Ni]>>CC(O)C","CC(O)C",0.999,"602c6e63329a1000012c1428","602c891e329a1000012c26e9",-0.4447848426728953,-9.14000000333881,-3.6601499971153757,-14.274230202526802
3.3000000000000003,"substitution","CC(Br)C.[OH-]>>CC(O)C","CC(O)C","CC(C)=O.[H][H].[H][H].[H][H].[H][H]>>CC(O)C","CC(O)C",0.998,"602c6e63329a1000012c1428","602c891e329a1000012c26e9",-0.4447848426728953,-9.14000000333881,-3.6601499971153757,-28.403895810107194
3.4000000000000004,"substitution","CC(Br)C.[OH-]>>CC(O)C","CC(O)C","CC(C)=O.[H][H]>>CC(O)C","CC(O)C",0.998,"602c6e63329a1000012c1428","602c891e329a1000012c26e9",-0.4447848426728953,-9.14000000333881,-3.6601499971153757,-7.038445587142185
3.5,"substitution","CC(Br)C.[OH-]>>CC(O)C","CC(O)C","CC(C)=O.CO.[H][H]>>CC(O)C","CC(O)C",0.998,"602c6e63329a1000012c1428","602c891e329a1000012c26e9",-0.4447848426728953,-9.14000000333881,-12.830074998557688,-9.739490429168498
