"reaction number","true rclass","true reaction smiles","pred reaction smiles","true prod","pred prod","conf","projID","predID","true_deltaCM","true_deltaSA","fwdpred_deltaCM","fwdpred_deltaSA"
1.,"substitution","CC[O-].BrC1CCCCC1>>CCOC2CCCCC2","CCI.OC1CCCCC1>>CCOC2CCCCC2","CCOC2CCCCC2","CCOC1CCCCC1",0.9995412391379864,"602c6e63329a1000012c1428","6035c0fb71c8b6000134bef4",3.555215157327112,-4.348967825034095,3.5552151573270976,-2.893914748111019
2.,"substitution","CC(Br)C1=CC=C([N+]([O-])=O)C=C1.[H]O[H]>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","C1CCOC1.C[Mg]Br.O=Cc1ccc([N+](=O)[O-])cc1>>CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)C2=CC=C([N+]([O-])=O)C=C2","CC(O)c1ccc([N+](=O)[O-])cc1",0.9999933243107079,"602c6e63329a1000012c1428","6035c11471c8b6000134bf16",-0.4447848426729024,-6.147511538461538,-18.104934839788257,-8.193961221047225
3.,"substitution","CC(Br)C.[OH-]>>CC(O)C","CC(C)=O.[BH4-].[Na+].[BH4-].[Na+]>>CC(O)C","CC(O)C","CC(C)O",0.9999839069445269,"602c6e63329a1000012c1428","6035c12c71c8b6000134bf3b",-0.4447848426728953,-9.14000000333881,-3.6601499971153757,-33.834921167201394
4.,"substitution","Br[C@H]1CCCC(C)=C1.[C-]#N>>CC2=C[C@H](C#N)CCC2","CC1=C[C@H](C(N)=O)CCC1.CCN(CC)CC.ClCCl.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2","CC1=C[C@H](C#N)CCC1",0.9996399952827465,"602c6e63329a1000012c1428","6035c14571c8b6000134bf5d",-18.294409849884474,-5.123409920360433,-135.6124705705625,-6.873528285486333
5.,"substitution","C/C=C/CBr.[C-]#N>>C/C=C/CC#N","C/C=C/CBr.CN(C)C=O.[C-]#N.[Na+].[C-]#N.[Na+]>>C/C=C/CC#N","C/C=C/CC#N","C/C=C/CC#N",0.9996995407341938,"602c6e63329a1000012c1428","6035c16471c8b6000134bf93",-2.7846348455575125,-5.253595486679402,-66.07560342642019,-30.12427920718219
6.,"substitution","CC(C)C(O)CC.Br>>CC(C)(Br)CCC","Br.CCCC(C)(C)O.O>>CC(C)(Br)CCC","CC(C)(Br)CCC","CCCC(C)(C)Br",0.9999928474850319,"602c6e63329a1000012c1428","6035c19271c8b6000134bfd1",-19.744690167423286,-6.705876826575469,0.4447848426729024,-12.205523981900454
7.,"substitution","CC(C)(C)[C@H]1CC[C@@H](I)CC1.[C-]#N>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]1CC[C@H](C(N)=O)CC1.CCN(CC)CC.ClCCl.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]1CC[C@H](C#N)CC1",0.9999132217746173,"602c6e63329a1000012c1428","6035c1aa71c8b6000134bff8",-7.539522347721004,-5.482164956438254,-135.6124705705625,-6.9362131010627035
8.,"substitution","I[C@]([H])(CC)C.[C-]#N>>N#C[C@@]([H])(CC)C","CC[C@H](C)OS(C)(=O)=O.CS(C)=O.[C-]#N.[Na+]>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C","CC[C@@H](C)C#N",0.9840574631088593,"602c6e63329a1000012c1428","6035c1c271c8b6000134c063",-18.294409849884453,-5.22769903966488,-130.56842503028858,-16.527115245877397
9.,"substitution","C[C@](Br)(CC)[H].[O-]C>>C[C@@]([H])(OC)CC","C1CCOC1.CC[C@@H](C)O.CI.[NaH]>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC","CC[C@@H](C)OC",0.7319039107531268,"602c6e63329a1000012c1428","6035c1da71c8b6000134c118",3.555215157327112,-4.053464634070475,-21.61470984411521,-14.362209033683664
10.,"substitution","Br[C@]([2H])([H])C.[OH-]>>O[C@@]([2H])([H])C","[2H]C([2H])=O.[H][H]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C","{""""""""[2H]C([2H])=O.[H][H]""""""""}[[2]]",0.44309496594040537,"602c6e63329a1000012c1428","6035c1f371c8b6000134c1d4",-0.4447848426728953,-8.80857500333881,24.,-8.980714817911416
